owner,name,stars,forks,watchers,isFork,isArchived,languages,languageCount,topics,topicCount,diskUsageKb,pullRequests,issues,description,primaryLanguage,createdAt,pushedAt,defaultBranchCommitCount,license,assignableUserCount,codeOfConduct,forkingAllowed,nameWithOwner,parent,contributors
apache,dubbo,39262,26109,3074,False,False,"[{'name': 'Java', 'size': 15622674}, {'name': 'Mustache', 'size': 62216}, {'name': 'Shell', 'size': 15510}, {'name': 'JavaScript', 'size': 3258}, {'name': 'Lex', 'size': 2076}, {'name': 'Batchfile', 'size': 1959}, {'name': 'Dockerfile', 'size': 1421}]",7,"[{'name': 'dubbo', 'stars': 44}, {'name': 'distributed-systems', 'stars': 345}, {'name': 'framework', 'stars': 31818}, {'name': 'java', 'stars': 147835}, {'name': 'microservices', 'stars': 378}, {'name': 'restful', 'stars': 24}, {'name': 'rpc', 'stars': 83}, {'name': 'grpc', 'stars': 247}, {'name': 'http', 'stars': 36527}, {'name': 'service-mesh', 'stars': 101}]",11,49743,6383,6410,The java implementation of Apache Dubbo. An RPC and microservice framework.,Java,2012-06-19T07:56:02Z,2023-08-17T12:35:34Z,7008.0,Apache License 2.0,71,Contributor Covenant,True,apache/dubbo,,397
jakevdp,PythonDataScienceHandbook,39261,17176,1768,False,False,"[{'name': 'Jupyter Notebook', 'size': 34385162}, {'name': 'Python', 'size': 18426}, {'name': 'HTML', 'size': 14215}, {'name': 'CSS', 'size': 11279}, {'name': 'Less', 'size': 6090}, {'name': 'Makefile', 'size': 4740}]",6,"[{'name': 'scikit-learn', 'stars': 22333}, {'name': 'numpy', 'stars': 623}, {'name': 'python', 'stars': 277238}, {'name': 'jupyter-notebook', 'stars': 35860}, {'name': 'matplotlib', 'stars': 133}, {'name': 'pandas', 'stars': 384}]",6,45159,186,181,Python Data Science Handbook: full text in Jupyter Notebooks,Jupyter Notebook,2016-08-10T14:24:36Z,2023-07-23T04:52:00Z,235.0,MIT License,1,Other,True,jakevdp/PythonDataScienceHandbook,,15
huginn,huginn,39030,3491,731,False,False,"[{'name': 'Ruby', 'size': 1486836}, {'name': 'HTML', 'size': 129309}, {'name': 'JavaScript', 'size': 37403}, {'name': 'Shell', 'size': 12215}, {'name': 'Dockerfile', 'size': 3831}, {'name': 'SCSS', 'size': 3819}, {'name': 'Procfile', 'size': 2328}, {'name': 'Makefile', 'size': 48}]",8,"[{'name': 'automation', 'stars': 1054}, {'name': 'notifications', 'stars': 50}, {'name': 'scraper', 'stars': 149}, {'name': 'webscraping', 'stars': 90}, {'name': 'feedgenerator', 'stars': 8}, {'name': 'rss', 'stars': 218}, {'name': 'agent', 'stars': 40}, {'name': 'monitoring', 'stars': 9085}, {'name': 'feed', 'stars': 26}, {'name': 'twitter-streaming', 'stars': 7}]",12,8648,1237,2061,Create agents that monitor and act on your behalf.  Your agents are standing by!,Ruby,2013-03-10T06:00:31Z,2023-08-17T02:19:22Z,3669.0,MIT License,6,,True,huginn/huginn,,216
dypsilon,frontend-dev-bookmarks,38943,5117,2019,False,False,[],0,"[{'name': 'frontend', 'stars': 49235}, {'name': 'awesome-list', 'stars': 1706}, {'name': 'awesome', 'stars': 68077}, {'name': 'list', 'stars': 119}]",4,1048,331,101,Manually curated collection of resources for frontend web developers.,,2013-06-22T13:23:55Z,2023-03-29T17:32:28Z,390.0,,1,,True,dypsilon/frontend-dev-bookmarks,,95
Dogfalo,materialize,38831,4835,991,False,False,"[{'name': 'JavaScript', 'size': 460979}, {'name': 'CSS', 'size': 154719}, {'name': 'HTML', 'size': 25701}]",3,"[{'name': 'design', 'stars': 922}, {'name': 'css', 'stars': 96882}, {'name': 'framework', 'stars': 31818}, {'name': 'javascript', 'stars': 163762}, {'name': 'material-design', 'stars': 14520}, {'name': 'material', 'stars': 85}, {'name': 'css-framework', 'stars': 189}]",7,164476,1442,5219,"Materialize, a CSS Framework based on Material Design",JavaScript,2014-09-12T19:35:38Z,2023-07-18T14:10:13Z,3878.0,MIT License,2,Other,True,Dogfalo/materialize,,244
grpc,grpc,38733,10403,1371,False,False,"[{'name': 'C++', 'size': 19659329}, {'name': 'Python', 'size': 4096712}, {'name': 'C', 'size': 1365997}, {'name': 'Starlark', 'size': 1059440}, {'name': 'Shell', 'size': 826065}, {'name': 'Objective-C', 'size': 724974}, {'name': 'Ruby', 'size': 662645}, {'name': 'PHP', 'size': 488038}, {'name': 'Cython', 'size': 284661}, {'name': 'Dockerfile', 'size': 202336}]",23,[],0,499678,22929,10890,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)",C++,2014-12-08T18:58:53Z,2023-08-18T08:11:33Z,53581.0,Apache License 2.0,111,Other,True,grpc/grpc,,313
facebookresearch,llama,38622,6345,364,False,False,"[{'name': 'Python', 'size': 28404}, {'name': 'Shell', 'size': 2171}]",2,[],0,1027,112,569,Inference code for LLaMA models,Python,2023-02-14T09:29:12Z,2023-08-17T09:09:12Z,29.0,Other,52,Contributor Covenant,True,facebookresearch/llama,,48
isocpp,CppCoreGuidelines,38566,5212,1966,False,False,"[{'name': 'Python', 'size': 9035}, {'name': 'Makefile', 'size': 5692}]",2,[],0,26749,1000,1107,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",Python,2015-08-19T20:22:52Z,2023-08-18T02:04:37Z,2113.0,Other,9,,True,isocpp/CppCoreGuidelines,,314
dcloudio,uni-app,38492,3535,507,False,False,"[{'name': 'JavaScript', 'size': 3592620}, {'name': 'Vue', 'size': 496380}, {'name': 'HTML', 'size': 375160}, {'name': 'CSS', 'size': 54297}, {'name': 'TypeScript', 'size': 32425}]",5,"[{'name': 'uni-app', 'stars': 35}, {'name': 'vue', 'stars': 57868}, {'name': 'mpvue', 'stars': 5}, {'name': 'miniprogram', 'stars': 56}, {'name': 'javascript', 'stars': 163762}, {'name': 'uniapp', 'stars': 19}, {'name': 'uni', 'stars': 4}, {'name': 'hbuilderx', 'stars': 0}, {'name': 'vue3', 'stars': 110}, {'name': 'android', 'stars': 139799}]",13,1652891,341,4039,A cross-platform framework using Vue.js,JavaScript,2018-07-12T08:52:39Z,2023-08-18T07:53:51Z,10229.0,Apache License 2.0,19,,True,dcloudio/uni-app,,22
discourse,discourse,38466,8073,897,False,False,"[{'name': 'Ruby', 'size': 17134255}, {'name': 'JavaScript', 'size': 7424948}, {'name': 'HTML', 'size': 1527792}, {'name': 'Handlebars', 'size': 1423361}, {'name': 'SCSS', 'size': 865434}, {'name': 'Mustache', 'size': 29627}, {'name': 'Shell', 'size': 12371}, {'name': 'CSS', 'size': 171}, {'name': 'Procfile', 'size': 151}]",9,"[{'name': 'discourse', 'stars': 13}, {'name': 'javascript', 'stars': 163762}, {'name': 'rails', 'stars': 11577}, {'name': 'ruby', 'stars': 20334}, {'name': 'ember', 'stars': 6276}, {'name': 'forum', 'stars': 64}, {'name': 'postgresql', 'stars': 30547}]",7,582411,22594,0,"A platform for community discussion. Free, open, simple.",Ruby,2013-01-12T00:25:55Z,2023-08-18T09:01:22Z,50657.0,GNU General Public License v2.0,66,Contributor Covenant,True,discourse/discourse,,380
